data_year,data_month,kind,fcc_dir,filename,url,size,sha256,s3_key,staged
2016,9,raw,2017,data-raw-2016-sept.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2017/data-raw-2016-sept.tar.gz,2678862008,fbbaa3dd1c0756d2adb2787d28d4332723047168d09d15b148a63bbeea48a828,fcc-mba/2016/raw/data-raw-2016-sept.tar.gz,1
2016,10,raw,2017,data-raw-2016-oct.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2017/data-raw-2016-oct.tar.gz,2783198358,cc48f1b183f3b90a1a532a46f96c82c60ed79c6e70a3505aea38eb9511a1a368,fcc-mba/2016/raw/data-raw-2016-oct.tar.gz,1
2016,11,raw,2016,data-raw-2016-nov.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2016/data-raw-2016-nov.tar.gz,2732592796,ee3e633605ef9b0ffa6c391f32d62ca2d90934032b3a066cd04518e17405c18c,fcc-mba/2016/raw/data-raw-2016-nov.tar.gz,1
2016,12,raw,2016,data-raw-2016-dec.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2016/data-raw-2016-dec.tar.gz,2767026838,783680758d94e2a54097ce587528546883e59664fd916e2b3352211f9431e444,fcc-mba/2016/raw/data-raw-2016-dec.tar.gz,1
2017,1,raw,2017,data-raw-2017-jan.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2017/data-raw-2017-jan.tar.gz,2702002770,c387d647d962707c90753428ff6c70143842bcd9d2227229fb7641a224e97f7b,fcc-mba/2017/raw/data-raw-2017-jan.tar.gz,1
2017,2,raw,2017,data-raw-2017-feb.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2017/data-raw-2017-feb.tar.gz,2377650986,243c49a4be00089b608ed40299ed4702c893076ebeb1106e80e2a7c42861af10,fcc-mba/2017/raw/data-raw-2017-feb.tar.gz,1
2017,3,raw,2017,data-raw-2017-mar.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2017/data-raw-2017-mar.tar.gz,2416709329,a5e2df465f45fb03264610f8612504eceaddcbcc1ae58bd6e5722c0b28c3a72f,fcc-mba/2017/raw/data-raw-2017-mar.tar.gz,1
2017,4,raw,2017,data-raw-2017-apr.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2017/data-raw-2017-apr.tar.gz,2388979122,51cafd04b1349d76ac0c36300ac305ee6e0ee059c36bd87dd672c4beff45be7c,fcc-mba/2017/raw/data-raw-2017-apr.tar.gz,1
2017,5,raw,2017,data-raw-2017-may.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2017/data-raw-2017-may.tar.gz,2307040744,ed62b5e0321b95bcd5cb81f58ac23a844d385a5253804050a488e558b2382772,fcc-mba/2017/raw/data-raw-2017-may.tar.gz,1
2017,6,raw,2017,data-raw-2017-jun.tar.gz,https://data.fcc.gov/download/measuring-broadband-america/2017/data-raw-2017-jun.tar.gz,2206864532,046e9837da02a9c114c241715b69c9ebf1934ba676f80c16f4beffa9198fc1e6,fcc-mba/2017/raw/data-raw-2017-jun.tar.gz,1
