data_year,data_month,dataset,technology,n_units,rc,tis
2016,11,raw,fiber,480,10,2
2016,11,raw,overall,5022,500,52
2016,12,raw,cable,1838,107,6
2016,12,raw,dsl,1322,167,38
2016,12,raw,fiber,466,8,1
2016,12,raw,overall,4776,487,56
2017,1,raw,cable,1383,88,7
2017,1,raw,dsl,926,121,32
2017,1,raw,fiber,421,12,1
2017,1,raw,overall,4659,513,67
2017,2,raw,cable,1405,75,6
2017,2,raw,dsl,925,111,33
2017,2,raw,fiber,408,12,2
2017,2,raw,overall,4580,496,65
2017,3,raw,cable,1419,91,1
2017,3,raw,dsl,934,118,17
2017,3,raw,fiber,425,10,0
2017,3,raw,overall,4514,466,30
2017,4,raw,cable,1434,81,0
2017,4,raw,dsl,941,109,1
2017,4,raw,fiber,427,11,0
2017,4,raw,overall,4421,460,1
2017,5,raw,cable,1415,85,0
2017,5,raw,dsl,973,100,0
2017,5,raw,fiber,428,7,0
2017,5,raw,overall,4298,411,0
2017,6,raw,cable,1354,74,0
2017,6,raw,dsl,980,115,0
2017,6,raw,fiber,428,7,0
2017,6,raw,overall,4103,397,0
2017,7,raw,cable,1423,93,0
2017,7,raw,dsl,1034,136,0
2017,7,raw,fiber,440,9,0
2017,7,raw,overall,4167,459,0
2017,8,raw,cable,1508,124,0
2017,8,raw,dsl,1279,179,0
2017,8,raw,fiber,553,9,0
2017,8,raw,overall,4610,567,0
2017,9,raw,cable,1541,113,0
2017,9,raw,dsl,1442,203,0
2017,9,raw,fiber,620,11,0
2017,9,raw,overall,4775,533,0
2017,9,validated,cable,1654,148,0
2017,9,validated,dsl,1483,229,0
2017,9,validated,fiber,649,23,0
2017,9,validated,overall,3916,489,0
2017,10,raw,cable,1593,111,0
2017,10,raw,dsl,1514,206,0
2017,10,raw,fiber,637,10,0
2017,10,raw,overall,4900,567,0
2017,11,raw,cable,1531,109,0
2017,11,raw,dsl,1460,219,0
2017,11,raw,fiber,622,15,0
2017,11,raw,overall,4793,564,0
2017,12,raw,cable,1464,106,0
2017,12,raw,dsl,1408,225,0
2017,12,raw,fiber,579,14,0
2017,12,raw,overall,4593,560,0
2018,1,raw,cable,641,56,0
2018,1,raw,dsl,787,127,0
2018,1,raw,fiber,352,10,0
2018,1,raw,overall,4478,553,0
2018,2,raw,cable,661,56,0
2018,2,raw,dsl,804,120,0
2018,2,raw,fiber,358,6,0
2018,2,raw,overall,4423,530,0
2018,3,raw,cable,618,54,0
2018,3,raw,dsl,805,107,0
2018,3,raw,fiber,357,1,0
2018,3,raw,overall,4309,487,0
