data_year,data_month,dataset,n_units,rc,tis,technology
2015,12,raw,2257,181,15,cable
2015,12,raw,1343,169,68,dsl
2015,12,raw,472,11,3,fiber
2015,12,raw,5071,551,104,overall
2016,1,raw,1857,185,9,cable
2016,1,raw,967,149,45,dsl
2016,1,raw,360,7,1,fiber
2016,1,raw,4980,641,95,overall
2016,2,raw,1870,159,3,cable
2016,2,raw,967,110,28,dsl
2016,2,raw,365,6,3,fiber
2016,2,raw,4879,532,65,overall
2016,3,raw,1888,159,1,cable
2016,3,raw,989,124,34,dsl
2016,3,raw,368,5,1,fiber
2016,3,raw,4826,550,60,overall
2016,4,raw,1901,147,4,cable
2016,4,raw,1005,112,40,dsl
2016,4,raw,367,6,4,fiber
2016,4,raw,4761,497,73,overall
2016,5,raw,1924,152,5,cable
2016,5,raw,1002,115,32,dsl
2016,5,raw,373,6,1,fiber
2016,5,raw,4705,508,65,overall
2016,6,raw,1918,144,4,cable
2016,6,raw,995,123,38,dsl
2016,6,raw,369,9,0,fiber
2016,6,raw,4564,471,63,overall
2016,7,raw,0,0,0,cable
2016,7,raw,0,0,0,dsl
2016,7,raw,0,0,0,fiber
2016,7,raw,0,0,0,overall
2016,8,raw,1947,148,1,cable
2016,8,raw,1241,133,32,dsl
2016,8,raw,411,6,1,fiber
2016,8,raw,4716,495,44,overall
2016,9,raw,2059,111,8,cable
2016,9,raw,1393,161,47,dsl
2016,9,raw,500,8,0,fiber
2016,9,raw,5059,507,72,overall
2016,9,validated,1878,99,7,cable
2016,9,validated,1295,150,35,dsl
2016,9,validated,493,6,0,fiber
2016,9,validated,3778,350,42,overall
2016,10,raw,1918,84,6,cable
2016,10,raw,1392,165,54,dsl
2016,10,raw,506,8,1,fiber
2016,10,raw,4936,492,73,overall
2016,11,raw,1929,95,5,cable
2016,11,raw,1380,156,32,dsl
2016,11,raw,480,10,2,fiber
2016,11,raw,5022,500,52,overall
2016,12,raw,1838,107,6,cable
2016,12,raw,1322,167,38,dsl
2016,12,raw,466,8,1,fiber
2016,12,raw,4776,487,56,overall
2017,1,raw,1383,88,7,cable
2017,1,raw,926,121,32,dsl
2017,1,raw,421,12,1,fiber
2017,1,raw,4659,513,67,overall
2017,2,raw,1405,75,6,cable
2017,2,raw,925,111,33,dsl
2017,2,raw,408,12,2,fiber
2017,2,raw,4580,496,65,overall
2017,3,raw,1419,91,1,cable
2017,3,raw,934,118,17,dsl
2017,3,raw,425,10,0,fiber
2017,3,raw,4514,466,30,overall
2017,4,raw,1434,81,0,cable
2017,4,raw,941,109,1,dsl
2017,4,raw,427,11,0,fiber
2017,4,raw,4421,460,1,overall
2017,5,raw,1415,85,0,cable
2017,5,raw,973,100,0,dsl
2017,5,raw,428,7,0,fiber
2017,5,raw,4298,411,0,overall
2017,6,raw,1354,74,0,cable
2017,6,raw,980,115,0,dsl
2017,6,raw,428,7,0,fiber
2017,6,raw,4103,397,0,overall
2017,7,raw,1423,93,0,cable
2017,7,raw,1034,136,0,dsl
2017,7,raw,440,9,0,fiber
2017,7,raw,4167,459,0,overall
2017,8,raw,1508,124,0,cable
2017,8,raw,1279,179,0,dsl
2017,8,raw,553,9,0,fiber
2017,8,raw,4610,567,0,overall
2017,9,raw,1541,113,0,cable
2017,9,raw,1442,203,0,dsl
2017,9,raw,620,11,0,fiber
2017,9,raw,4775,533,0,overall
2017,9,validated,1654,148,0,cable
2017,9,validated,1483,229,0,dsl
2017,9,validated,649,23,0,fiber
2017,9,validated,3916,489,0,overall
2017,10,raw,1593,111,0,cable
2017,10,raw,1514,206,0,dsl
2017,10,raw,637,10,0,fiber
2017,10,raw,4900,567,0,overall
2017,11,raw,1531,109,0,cable
2017,11,raw,1460,219,0,dsl
2017,11,raw,622,15,0,fiber
2017,11,raw,4793,564,0,overall
2017,12,raw,1464,106,0,cable
2017,12,raw,1408,225,0,dsl
2017,12,raw,579,14,0,fiber
2017,12,raw,4593,560,0,overall
2018,1,raw,641,56,0,cable
2018,1,raw,787,127,0,dsl
2018,1,raw,352,10,0,fiber
2018,1,raw,4478,553,0,overall
2018,2,raw,661,56,0,cable
2018,2,raw,804,120,0,dsl
2018,2,raw,358,6,0,fiber
2018,2,raw,4423,530,0,overall
2018,3,raw,618,54,0,cable
2018,3,raw,805,107,0,dsl
2018,3,raw,357,1,0,fiber
2018,3,raw,4309,487,0,overall
2018,4,raw,638,54,0,cable
2018,4,raw,804,103,0,dsl
2018,4,raw,359,3,0,fiber
2018,4,raw,4196,476,0,overall
2018,5,raw,647,59,0,cable
2018,5,raw,806,114,0,dsl
2018,5,raw,356,7,0,fiber
2018,5,raw,4138,470,0,overall
2018,6,raw,657,71,0,cable
2018,6,raw,790,108,0,dsl
2018,6,raw,352,5,0,fiber
